tdtfile	medfile	rat	session	box	dietgroup	date	bottleL	bottleR	sig-blue	sig-uv	ttl-trialL	ttl-trialR	ttl-lickL	ttl-lickR	include-mat	include-py	endcol	
Fabien-181105-090116	!2018-11-05_09h00m.Subject QPPh1.01	QPPh1.01	Quin0	1	NR	05/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	72
Fabien-181105-090116	!2018-11-05_09h00m.Subject QPPh1.02	QPPh1.02	Quin0	2	NR	05/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	73
Fabien-181105-094700	!2018-11-05_09h44m.Subject QPPh1.03	QPPh1.03	Quin0	1	PR	05/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	74
Fabien-181105-094700	!2018-11-05_09h44m.Subject QPPh1.04	QPPh1.04	Quin0	2	PR	05/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	75
Fabien-181105-102908	!2018-11-05_10h24m.Subject QPPh1.05	QPPh1.05	Quin0	1	PR	05/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	76
Fabien-181105-102908	!2018-11-05_10h24m.Subject QPPh1.06	QPPh1.06	Quin0	2	PR	05/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	77
Fabien-181105-111308	!2018-11-05_11h10m.Subject QPPh1.07	QPPh1.07	Quin0	1	NR	05/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	78
Fabien-181105-111308	!2018-11-05_11h10m.Subject QPPh1.08	QPPh1.08	Quin0	2	NR	05/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	79
Fabien-181106-084130	!2018-11-06_08h03m.Subject QPPh1.01	QPPh1.01	Quin0	1	NR	06/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	80
Fabien-181106-084130	!2018-11-06_08h03m.Subject QPPh1.02	QPPh1.02	Quin0	2	NR	06/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	81
Fabien-181106-092309	!2018-11-06_09h22m.Subject QPPh1.03	QPPh1.03	Quin0	1	PR	06/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	82
Fabien-181106-092309	!2018-11-06_09h22m.Subject QPPh1.04	QPPh1.04	Quin0	2	PR	06/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	83
Fabien-181106-100534	!2018-11-06_10h04m.Subject QPPh1.05	QPPh1.05	Quin0	1	PR	06/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	84
Fabien-181106-100534	!2018-11-06_10h04m.Subject QPPh1.06	QPPh1.06	Quin0	2	PR	06/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	85
Fabien-181106-105216	!2018-11-06_10h49m.Subject QPPh1.07	QPPh1.07	Quin0	1	NR	06/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	86
Fabien-181106-105216	!2018-11-06_10h49m.Subject QPPh1.08	QPPh1.08	Quin0	2	NR	06/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	87
Fabien-181107-084551	!2018-11-07_08h10m.Subject QPPh1.01	QPPh1.01	Quin0.03	1	NR	07/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	88
Fabien-181107-084551	!2018-11-07_08h10m.Subject QPPh1.02	QPPh1.02	Quin0.03	2	NR	07/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	89
Fabien-181107-093223	!2018-11-07_09h30m.Subject QPPh1.03	QPPh1.03	Quin0.03	1	PR	07/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	90
Fabien-181107-093223	!2018-11-07_09h30m.Subject QPPh1.04	QPPh1.04	Quin0.03	2	PR	07/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	91
Fabien-181107-101441	!2018-11-07_10h13m.Subject QPPh1.05	QPPh1.05	Quin0.03	1	PR	07/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	92
Fabien-181107-101441	!2018-11-07_10h13m.Subject QPPh1.06	QPPh1.06	Quin0.03	2	PR	07/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	93
Fabien-181107-105858	!2018-11-07_10h57m.Subject QPPh1.07	QPPh1.07	Quin0.03	1	NR	07/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	94
Fabien-181107-105858	!2018-11-07_10h57m.Subject QPPh1.08	QPPh1.08	Quin0.03	2	NR	07/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	95
Fabien-181109-090214	!2018-11-09_08h23m.Subject QPPh1.01	QPPh1.01	Quin0.03	1	NR	09/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	96
Fabien-181109-090214	!2018-11-09_08h23m.Subject QPPh1.02	QPPh1.02	Quin0.03	2	NR	09/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	97
Fabien-181109-094827	!2018-11-09_09h41m.Subject QPPh1.03	QPPh1.03	Quin0.03	1	PR	09/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	98
